,Values,Header
0,11,OTHER INCOME (LOSS)
1,11A,OTHER PORTFOLIO INCOME (LOSS)
2,11B,INVOLUNTARY CONVERSIONS
3,11C,SEC. 1256 CONTRACTS & STRADDLES
4,11D,MINING EXPLORATION COSTS RECAPTURE
5,11E,CANCELLATION OF DEBT
6,11F,SECTION 743(B) POSITIVE ADJUSTMENTS
7,11G,SECTION 965(A) INCLUSION
8,11H,"SUBPART F INCOME OTHER THAN SECTIONS 951A AND 965 
INCLUSION"
9,11I,OTHER INCOME (LOSS)
10,13,OTHER DEDUCTIONS
11,13A,CASH CONTRIBUTIONS (60%)
12,13B,CASH CONTRIBUTIONS (30%)
13,13C,NONCASH CONTRIBUTIONS (50%)
14,13D,NONCASH CONTRIBUTIONS (30%)
15,13E,CAPITAL GAIN PROPERTY TO A 50% ORGANIZATION (30%)
16,13F,CAPITAL GAIN PROPERTY (20%)
17,13G,CONTRIBUTIONS (100%)
18,13H,INVESTMENT INTEREST EXPENSE
19,13I,DEDUCTIONS-ROYALTY INCOME
20,13J,SECTION 59(E)(2) EXPENDITURES
21,13K,EXCESS BUSINESS INTEREST EXPENSE
22,13L,DEDUCTIONS - PORTFOLIO (OTHER)
23,13M,AMOUNTS PAID FOR MEDICAL INSURANCE
24,13N,EDUCATIONAL ASSISTANCE BENEFITS
25,13O,DEPENDENT CARE BENEFITS
26,13P,PREPRODUCTIVE PERIOD EXPENSES
27,13Q,"COMMERCIAL REVITALIZATION DEDUCTION FROM RENTAL REAL ESTATE 
ACTIVITIES"
28,13R,PENSIONS AND IRAS
29,13S,REFORESTATION EXPENSE DEDUCTION
30,13T,THROUGH U. RESERVED FOR FUTURE USE
31,13U,RESERVED FOR FUTURE USE
32,13V,SECTION 743(B) NEGATIVE ADJUSTMENTS
33,13W,OTHER DEDUCTIONS
34,13X,SECTION 965(C) DEDUCTION
35,14,SELF-EMPLOYMENT EARNINGS (LOSS)
36,14A,NET EARNINGS (LOSS) FROM SELF-EMPLOYMENT
37,14B,GROSS FARMING OR FISHING INCOME
38,14C,GROSS NON-FARM INCOME
39,15,CREDITS
40,15A,RESERVED FOR FUTURE USE
